question,Actual Abstract
"Name a British television personality, television chef, actress, singer and former politician?","Rustie Lee is a British television personality, television chef, actress, singer and former politician."
"When did Alfred Arthur Hinchcliffe Denville,an English actor, theatre impresario and Conservative Party politician die?","Alfred Arthur Hinchcliffe Denville (27 January 1876 – 23 March 1955) was an English actor, theatre impresario and Conservative Party politician."
"When was Bruce Belfrage, an English actor and BBC radio newsreader born?",Bruce Belfrage (30 October 1900 – August 1974) was an English actor and BBC radio newsreader.
"Name an English Liberal Democrat local politician, journalist, children's book author and former model and actress?","Marina Augusta Pepper (née Baker; born 8 December 1967)  is an English Liberal Democrat local politician, journalist, children's book author and former model and actress."
"Name a Russian politician, TV anchor, journalist, socialite and actress?","Ksenia Anatolyevna Sobchak  (born 5 November 1981) is a Russian politician, TV anchor, journalist, socialite and actress."
Who is Nikolai Nikolaevich Gubenko?,"Nikolai Nikolaevich Gubenko (Russian: Николай Николаевич Губенко) (born 17 August 1941) is a Soviet and Russian actor, film and theatre director, screenwriter, founder of the Community of Taganka Actors theatre."
Who is Stanislav Sergeyevich Govorukhin?,"Stanislav Sergeyevich Govorukhin (Russian: Станислав Сергеевич Говорухин; 29 March 1936 – 14 June 2018) was a Soviet and Russian film director, actor, screenwriter, producer and politician."
Who is Rolan Antonovich Bykov?,"Rolan Antonovich Bykov (Russian: Ролан Антонович Быков; October 12, 1929 – October 6, 1998) was a Soviet and Russian actor, theatre and film director, screenwriter, educator at High Courses for Scriptwriters and Film Directors, poet and song writer, as well as a politician and a banker."
Who is Vladimir Vladimirovich Bortko PAR?,"Vladimir Vladimirovich Bortko PAR (Russian: Владимир Владимирович Бортко; born May 7, 1946 in Moscow), is a Russian film director, screenwriter, producer and politician."
Name a Mexican actress and politician associated with the Institutional Revolutionary Party?,"Carmen Salinas Lozano (born October 5, 1939) is a Mexican actress and politician associated with the Institutional Revolutionary Party (PRI)."
"Name  a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator?","Jean Lapointe,  (born December 6, 1935) is a Quebecois-Canadian actor, comedian and singer as well as a former Canadian Senator."
Name an American soccer player who currently plays as a defender for NSWL club Utah Royals FC.?,"Elizabeth Rose Ball (born October 20, 1995) is an American soccer player who currently plays as a defender for NSWL club Utah Royals FC."
"Name an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981)?","Ralph Waite (June 22, 1928 – February 13, 2014) was an American actor and political activist, best known for his role as John Walton, Sr. on The Waltons (1972–1981), which he occasionally directed."
"Name an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer?","Gerald Norman Springer (born February 13, 1944) is an English-American television presenter, politician, news presenter, actor, producer, musician, and former lawyer."
"Name an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma?","William Penn Adair Rogers (November 4, 1879 – August 15, 1935) was an American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator from Oklahoma."
"Name an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent?","Park Overall (born March 15, 1957) is an American actress, environmental and women's rights activist, and former U.S. Senate candidate, known for her trademark heavy Southern accent."
When was Cynthia Ellen Nixon born?,"Cynthia Ellen Nixon (born April 9, 1966) is an American actress and activist."
When did George Lloyd Murphy die?,"George Lloyd Murphy (July 4, 1902 – May 3, 1992) was an American dancer, actor, and politician."
"Who is William M. ""Sonny"" Landham?","William M. ""Sonny"" Landham (February 11, 1941 – August 17, 2017) was an American film actor and stunt man."
"Name an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District?","Sheila James Kuehl (born February 9, 1941) is an American politician, former child actress, and currently the member of the Los Angeles County Board of Supervisors for the 3rd District."
"Name an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard?","Ben Lewis Jones (born August 30, 1941) is an American actor, politician, playwright and essayist, best known for his role as Cooter Davenport in The Dukes of Hazzard."
"Name an American film actor of the 1920s silent era and into the 1930s, and later a television actor?","Charles Farrell (August 9, 1900 – May 6, 1990) was an American film actor of the 1920s silent era and into the 1930s, and later a television actor."
Who is Carlos Alan Autry Jr.?,"Carlos Alan Autry Jr. (also known for a period of time as Carlos Brown; born July 31, 1952), is an American actor, politician, and former National Football League  player."
"Name an American singer, television personality, actor, political candidate, and activist?","Clayton Holmes ""Clay"" Aiken (born Clayton Holmes Grissom; November 30, 1978) is an American singer, television personality, actor, political candidate, and activist."
Name an American politician who served as the 47th vice president of the United States from 2009 to 2017?,"Joseph Robinette Biden Jr. (; born November 20, 1942) is an American politician who served as the 47th vice president of the United States from 2009 to 2017 and represented Delaware in the U.S. Senate from 1973 to 2009."
Who is Cecilia Roxana Tait Villacorta?,"Cecilia Roxana Tait Villacorta (born May 2, 1962) is a Peruvian politician and retired volleyball player."
Name a Peruvian former volleyball player and politician (PNP)?,"Cenaida Cebastiana Uribe Medina (born December 2, 1965 in Lima) is a Peruvian former volleyball player and politician (PNP)."
What is Arthur Antunes Coimbra better known as?,"Arthur Antunes Coimbra (Portuguese pronunciation: [aʁˈtuʁ  ɐ̃ˈtũnis koˈĩbɾɐ], born 3 March 1953 in Rio de Janeiro), better known as Zico ([ˈziku]), is a Brazilian coach and former footballer, who played as an attacking midfielder."
"Name an Olympic breaststroke swimmer from Brazil, who participated at one Summer Olympics?","Harry Forssell (October 1907 - September 15, 2006) was an Olympic breaststroke swimmer from Brazil, who participated at one Summer Olympics."
Name a Brazilian politician and a former female volleyball player?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player."
Who is Ulises Hernán de la Cruz Bernardo? ,"Ulises Hernán de la Cruz Bernardo (born 8 February 1974 in Piquiucho) is a retired Ecuadorian footballer, who since 2013 has been a member of his country's National Assembly for the governing PAIS Alliance."
Who is Cenaida Cebastiana Uribe Medina?,"Cenaida Cebastiana Uribe Medina (born December 2, 1965 in Lima) is a Peruvian former volleyball player and politician (PNP)."
Name a Mexican politician and former sprinter who competed in the 1924 Summer Olympics? ,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.
Name an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956?,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.
When was Liesl Dorothy Tesch AM born?,"Liesl Dorothy Tesch AM (born 17 May 1969) is an Australian wheelchair basketball player, sailor and politician."
Who is Joseph Karl Szakacs?,Joseph Karl Szakacs (; born 1982) is an Australian politician and trade unionist.
"Name an Australian politician, lawyer and former Olympic athlete?","Zali Steggall  (born 16 April 1974) is an Australian politician, lawyer and former Olympic athlete."
"When was Trevor Raymond Sprigg, an Australian politician and legislator from Western Australia born?","Trevor Raymond Sprigg (10 August 1946 – 17 January 2008) was an Australian politician and legislator from Western Australia, as well as a former football star."
"Name an Australian politician, representing the National Party in the Senate for the state of Queensland?","Glenister Fermoy Sheil  (21 October 1929 – 29 September 2008) was an Australian politician, representing the National Party in the Senate for the state of Queensland from 1974 to 1981, and again from 1984–90."
"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province."
"When was Zali Steggall, an Australian politician, lawyer and former Olympic athlete born?","Zali Steggall  (born 16 April 1974) is an Australian politician, lawyer and former Olympic athlete."
"Who is Francis Eugene ""Frank"" Stewart?","Francis Eugene ""Frank"" Stewart (20 February 1923 – 16 April 1979), Australian  politician and rugby league footballer, was a member of the Australian House of Representatives representing Lang between 1953 and 1977 and subsequently Grayndler between 1977 and 1979 for the Australian Labor Party."
"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province."
"Name a businessman, solicitor and Lord Mayor of Adelaide, South Australia?","Sir Arthur Campbell Rymill (8 December 1907 – 27 March 1989) was a businessman, solicitor and Lord Mayor of Adelaide, South Australia."
"Name an Irish actor, known for his television roles in the TV series Copper and Crossbones?","Kevin John Ryan (born 20 June 1984) is an Irish actor, known for his television roles in the TV series Copper and Crossbones."
Name a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club?,"Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809)."
"When was Arthur Bruce Pie, an Australian politician who served in the Legislative Assembly of Queensland born?",Arthur Bruce Pie (18 May 1902 – 30 July 1962) was an Australian politician who served in the Legislative Assembly of Queensland.
When was Nova Maree Peris born?,Nova Maree Peris  (born 25 February 1971) is an indigenous Australian athlete and former politician.
Who is Stephen John Rayden Patterson?,"Stephen John Rayden Patterson (born 4 January 1971) is an Australian politician, and a former Australian rules footballer who played with Collingwood in the Australian Football League (AFL)."
"Name an Australian former professional rugby league footballer, administrator and politician?","Paul Anthony Osborne (born 30 September 1966) is an Australian former professional rugby league footballer, administrator and politician."
Who is Raymond James O'Connor?,Raymond James O'Connor (6 March 1926 – 25 February 2013) was an Australian politician.
Name a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club?,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).
When was Dean Cambell Nalder MLA born?,"Dean Cambell Nalder MLA (born 5 February 1966) is an Australian politician who has been a member of the Legislative Assembly of Western Australia since 2013, representing the seat of Alfred Cove until 2017 and Bateman following the 2017 electoral boundary re-distribution."
"Name a British writer, raconteur and broadcaster, born in Barnes, London in the UK?","Arthur Marshall, MBE (10 May 1910 – 27 January 1989) was a British writer, raconteur and broadcaster, born in Barnes, London in the UK."
Name an Australian politician and former Australian rules footballer?,Justin Mark Madden  (born 31 May 1961) is an Australian politician and former Australian rules footballer.
"When did Brendan Aloysius Lyons, an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986 die? ","Brendan Aloysius Lyons (17 June 1927 – 7 September 2010) was an  Australian politician who served in the Tasmanian House of Assembly from 1982 to 1986, representing the Liberal Party."
"When was Samuel John Everett Loxton, an Australian cricketer, footballer and politician born?","Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician."
Name an Australian politician who served as the Liberal member for Lalor from 1966 to 1969?,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.
"Name an Australian former professional rugby league footballer, and a former Australian Senator?","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator."
"Name an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia?","Sir John Greig Latham GCMG QC (26 August 1877 – 25 July 1964) was an Australian lawyer, politician, and judge who served as the fifth Chief Justice of Australia, in office from 1935 to 1952."
"Who is Gilbert Roche Andrews ""Gil"" Langley?","Gilbert Roche Andrews ""Gil"" Langley  (14 September 1919 – 14 May 2001) was an Australian Test cricketer, champion Australian rules footballer and member of parliament, serving as Speaker of the South Australian House of Assembly from 1977 to 1979 for the Don Dunstan Labor government."
When did Roy Mitchell Kinnear die?,Roy Mitchell Kinnear (8 January 1934 – 20 September 1988) was a British character actor.
Name an Australian politician who served as a Senator for Western Australia from 1923 to 1935?,Sir Walter Kingsmill (10 April 1864 – 15 January 1935) was an Australian politician who served as a Senator for Western Australia from 1923 to 1935.
"Who was Sir Wilfrid Selwyn ""Bill"" Kent Hughes?","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government."
"What was William Frederick Percy Hutton, an Australian cricketer who played a single first-class match for South Australia known as?","William Frederick Percy Hutton (2 October 1876 – 1 October 1951), known as Percy Hutton, was an Australian cricketer who played a single first-class match for South Australia during the 1905–06 Sheffield Shield season."
"Name an Australian politician, psychologist and vegan bodybuilder?","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder."
Name a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland?,"Michael James Horan, AM (born 1 July 1944) is a former Australian politician who represented the seat of Toowoomba South in the Legislative Assembly of Queensland from 18 May 1991 to 24 March 2012."
"Name the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party?","Lionel Laughton Hill (14 May 1881 – 19 March 1963) was the thirtieth Premier of South Australia, representing the South Australian Branch of the Australian Labor Party."
Name an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947?,James Hegney (27 September 1891 – 5 May 1970) was an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947 and again from 1950 to 1968.
"When was John Merrifield Hearman CMG, an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia born?","John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood."
Name an Australian rules footballer who played for Melbourne in the Victorian Football League?,"Stan ""Pops"" Heal (30 July 1920 – 15 December 2010) was an Australian rules footballer who played for Melbourne in the Victorian Football League (VFL) as well as West Perth in the West Australian National Football League (WANFL) during the 1940s and early 1950s."
Name an Australian rules footballer who played for Essendon in the Victorian Football League (VFL)?,Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).
"Who is Herbert Harry ""Jim"" Handby OBE?","Herbert Harry ""Jim"" Handby OBE (1 September 1903 – 2 October 1991) was an Australian rules footballer who played in the South Australian National Football League (SANFL) in the 1920s and 1930s, achieving several honours in recognition of his playing skills."
Name an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908?,"Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan."
"Name an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament?","Raymond John Groom  (born 3 September 1944) is an Australian lawyer and former sportsman and politician, representing the Liberal Party in the Federal Parliament 1975–84 and the Tasmanian Parliament 1986–2001."
Name a former professional tennis player who was a grass court specialist?,"Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist."
When was John Hogan 'Jack' Gervasoni born?,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).
"When did Albert ""Jupp"" Gardiner die?","Albert ""Jupp"" Gardiner (30 July 1867 – 14 August 1952) was an Australian politician who served as a Senator for New South Wales from 1910 to 1926 and again briefly in 1928."
Who is John William 'Jack' Galbally?,"John William 'Jack' Galbally, , (2 August 1910 – 8 July 1990) was a Labor Party politician."
Name an Australian freestyle champion swimmer and former politician?,"Dawn Fraser,  (born 4 September 1937) is an Australian freestyle champion swimmer and former politician."
"Name a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman?","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh."
"Name an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq?","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq."
"When was Patrick Francis Daniel Farmer, an ultra-marathon athlete, motivational speaker, and former Australian politician born?","Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party."
"Name a Norfolk Island businessman, actor and local government politician?","Hadyn Paul ""Teddy"" Evans (born 15 October 1962) is a Norfolk Island businessman, actor and local government politician."
Who is Alistair Martin Edwards?,Alistair Martin Edwards (born 21 June 1968) is a former football (soccer) player and coach.
When was cricketer Charles John Eady born?,Charles John Eady (29 October 1870 – 20 December 1945) was a cricketer who played for Tasmanian clubs and representative sides in the era before Tasmania was accepted into the Sheffield Shield and other competitions.
Who is Henry Rowland Gascoigne Dumaresq?,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.
Name an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives?,Damian Kevin Drum (born 28 July 1960) is an Australian politician who has represented Murray and Nicholls in the Australian House of Representatives since the 2016 federal election as a member of The Nationals.
Name an Australian rules footballer and coach in the West Australian Football League (WAFL)?,"John ""Jerry"" Dolan (25 December 1901 – 26 December 1986) was an Australian rules footballer and coach in the West Australian Football League (WAFL) before becoming a politician."
Who is Richard Luigi Di Natale?,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.
"When was Hugh Francis Delahunty, an Australian politician born?",Hugh Francis Delahunty (born 28 June 1949) is an Australian politician.
"Who is Ronald William ""Ron"" Clarke?","Ronald William ""Ron"" Clarke, AO, MBE (21 February 1937 – 17 June 2015) was an Australian athlete, writer, and Mayor of the Gold Coast from 2004 to 2012."
Name an Australian politician who was the inaugural leader of the Australian Democrats?,"Donald Leslie Chipp, AO (21 August 1925 – 28 August 2006) was an Australian politician who was the inaugural leader of the Australian Democrats, leading the party from 1977 to 1986."
Name an Australian former professional boxer and former member of the New South Wales Legislative Assembly?,Stephen Rhett Cansdell (born 23 September 1950 in Dubbo) is an Australian former professional boxer and former member of the New South Wales Legislative Assembly.
Name an Australian politician; a five-time national champion and Australian representative rower?,Shane Thomas Broad (born 21 August 1974) is an Australian politician; a five-time national champion and Australian representative rower; and an agricultural scientist.
Who is Cory Bernardi?,Cory Bernardi (born 6 November 1969) is a former Australian politician.
When was Anthony John Benneworth born?,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.
"Who is Sir Francis ""Frank"" Joseph Edmund Beaurepaire?","Sir Francis ""Frank"" Joseph Edmund Beaurepaire (13 May 1891 – 29 May 1956) was an Australian distance freestyle swimmer from the 1900s to the 1920s, who won three silver and three bronze medals, from the 1908 Summer Olympics in London to the 1924 Summer Olympics in Paris, setting 15 world records."
When did Sir Henry Newman Barwell KCMG die?,Sir Henry Newman Barwell KCMG (26 February 1877 – 30 September 1959) was the 28th Premier of South Australia.
Name an Australian politician who served in both houses of the Parliament of Western Australia? ,Edward Houghton Angelo (29 July 1870 – 1 October 1948) was an Australian politician who served in both houses of the Parliament of Western Australia.
"Name Canada's first chess grandmaster, an eight-time Canadian Chess Champion?","Daniel Abraham Yanofsky,  (March 25, 1925 – March 5, 2000) was Canada's first chess grandmaster, an eight-time Canadian Chess Champion, a chess writer, chess arbiter, and lawyer."
Who is Peter Wong Tung-shun?,"Peter Wong Tung-shun, JP (Chinese: 王冬勝 born 1951, Hong Kong) is a Group General Manager of HSBC, serving as Deputy Chairman and Chief Executive of The Hongkong and Shanghai Banking Corporation Limited, Asia-Pacific."
Name a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly?,Andrew John Weaver  is a Canadian scientist and politician representing the riding of Oak Bay-Gordon Head in the British Columbia Legislative Assembly.
"When was Nicholas Joseph Vinnicombe, a merchant and politician in Newfoundland born?","Nicholas Joseph Vinnicombe (January 14, 1877 – April 10, 1928) was a merchant and politician in Newfoundland."
Who is Cory E. Vanthuyne?,"Cory E. Vanthuyne is a Canadian politician, who was elected to the Legislative Assembly of the Northwest Territories in the 2015 election."
When was John Napier Wyndham Turner born?,"John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984."
Who is Joseph Philippe Pierre Yves Elliott Trudeau?,"Joseph Philippe Pierre Yves Elliott Trudeau  ( TROO-doh, troo-DOH, French: [pjɛʁ tʁydo]; October 18, 1919 – September 28, 2000), mostly referred to as simply Pierre Trudeau, or by the initials PET, was a Canadian politician who was the 15th prime minister of Canada and leader of the Liberal Party of Canada, between 1968 and 1984, with a brief period as Leader of the Opposition, from 1979 to 1980."
"Name a commercial fisherman, trapper and political figure in Saskatchewan?","Frederick John Thompson (May 21, 1935 – July 7, 2010) was a commercial fisherman, trapper and political figure in Saskatchewan."
"When did Frederick Wellington ""Cyclone"" Taylor, a Canadian professional ice hockey player and civil servant die?","Frederick Wellington ""Cyclone"" Taylor, MBE (June 23, 1884 – June 9, 1979) was a Canadian professional ice hockey player and civil servant."
"Who is Chris ""Canuck Truck"" Szarka?","Chris ""Canuck Truck"" Szarka (born February 12, 1975 in Vancouver, British Columbia) is a former Canadian Football League fullback."
"When  was Joseph ""Joe"" Albert Taylor Sullivan born?","Joseph ""Joe"" Albert Taylor Sullivan (January 8, 1901 – September 30, 1988) was a Canadian Olympic ice hockey player, physician, surgeon, and politician."
"Name a Canadian police officer, politician, football player, professor, and Citizenship Judge?","George Philip Gregory Springate  (May 12, 1938 – November 20, 2019) was a Canadian police officer, politician, football player, professor, and Citizenship Judge."
"Name an American author and editor, and publisher of Smith Magazine?","Larry Smith (born September 17, 1968) is an American author and editor, and publisher of Smith Magazine."
Who is Robert Underdunk Terwilliger Jr?,"Robert Underdunk Terwilliger Jr., PhD, better known as Sideshow Bob, is a recurring character in the animated television series The Simpsons."
"When was Frederick ""Chief Running Deer"" Sasakamoose born?","Frederick ""Chief Running Deer"" Sasakamoose,  (born December 25, 1933) is a former Canadian professional ice hockey player."
"Who is Samuel ""Sam"" Rothschild?","Samuel ""Sam"" Rothschild (October 16, 1899 – April 15, 1987) was a Canadian professional ice hockey player who played 102 games in the National Hockey League (NHL)."
Name an Australian human rights lawyer and barrister with Doughty Street Chambers in London?,Jennifer Robinson (born 1981) is an Australian human rights lawyer and barrister with Doughty Street Chambers in London.
"Who is Charles Gavan ""Chubby"" Power?","Charles Gavan ""Chubby"" Power,  (18 January 1888 – 30 May 1968) was a Canadian politician and ice hockey player."
"What was Steven Patrick Morrissey, an English singer, songwriter, and author known mononymously as?","Steven Patrick Morrissey (; born 22 May 1959), known mononymously as Morrissey, is an English singer, songwriter, and author."
Name a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League?,"Gerry Organ (born December 4, 1944) is a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League."
"When did Cynthia Maria ""Cindy"" Nicholas, a long distance swimmer and a politician in Ontario, Canada die?","Cynthia Maria ""Cindy"" Nicholas,  (August 20, 1957 – May 19, 2016) was a long distance swimmer and a politician in Ontario, Canada."
"Who is Wilfred Kennedy ""Bucko"" McDonald?","Wilfred Kennedy ""Bucko"" McDonald (October 31, 1911 – July 19, 1991) was a Canadian professional hockey and lacrosse player, coach, and politician."
"Who is Maurice William ""Moe"" Mantha?","Maurice William ""Moe"" Mantha (December 13, 1933 – September 18, 2015) was a Canadian ice hockey player and a politician."
"When was Douglas Roy ""Doug"" Livingston born?","Douglas Roy ""Doug"" Livingston (born April 15, 1954) is an educator and former political figure in the Yukon, Canada."
Name a former territorial level politician and Member of the Legislative Assembly of the Northwest territories?,"Fred Koe (born March 8, 1947) is a former territorial level politician and Member of the Legislative Assembly of the Northwest territories from 1991 to 1995."
"Name a Canadian Inuit lawyer, politician, and former sportsman?","Kiviaq (also known as David Charles Ward; January 23, 1936 – April 24, 2016) was a Canadian Inuit lawyer, politician, and former sportsman."
"When did Leonard Patrick ""Red"" Kelly, a Canadian professional ice hockey player and coach die?","Leonard Patrick ""Red"" Kelly  (July 9, 1927 – May 2, 2019) was a Canadian professional ice hockey player and coach."
"Who is Gregory Andrew ""Greg"" Joy?","Gregory Andrew ""Greg"" Joy (born April 23, 1956) is an American-born Canadian high jumper who stood 6' 4"" tall and weighed 157 lbs while competing from 1973 to 1982 for Canada."
"When was Roderick George McLean ""The Arrow"" Hunter, a Canadian curler and politician born?","Roderick George McLean ""The Arrow"" Hunter (August 24, 1943 – January 6, 2018) was a Canadian curler and politician."
"Who is Michael Patrick ""Mickey"" Hennessy?","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada."
"When was Enrico Pasquale Ciccone, a Canadian former professional ice hockey defenceman born?","Enrico Pasquale Ciccone (born April 10, 1970) is a Canadian former professional ice hockey defenceman who played in the National Hockey League (NHL)."
"Who is Harold Peter ""Herb"" Capozzi?","Harold Peter ""Herb"" Capozzi (April 24, 1925 – November 21, 2011) was an athlete, businessman, professional sports team manager and political figure in British Columbia."
"What was Charles Griffith Wynne,  Liberal Tory politician and a Member of Parliament for Caernarfon later known as?","Charles Griffith Wynne (14 August 1815 – 3 March 1874), later known as Charles Wynne-Finch, was a Liberal Tory politician and a Member of Parliament for Caernarfon."
Name an English Christian worship leader and writer of hymns and contemporary worship music?,Stuart Townend (born 1963) is an English Christian worship leader and writer of hymns and contemporary worship music.
Who is Michael James Tomlinson-Mynors?,Michael James Tomlinson-Mynors (born 1 October 1977) is a British politician serving as the Member of Parliament (MP) for Mid Dorset and North Poole since 2015.
Who is Sir James Douglas Wishart Thomson?,"Sir James Douglas Wishart Thomson, 2nd Baronet (30 October 1905 – 3 January 1972) was a Scottish Unionist politician."
